FOOD,REFUSE (%),WATER (g),ENERGY (Kcal),PROTEIN (g),FAT (g),ASH (g),FIBER (g),CARBOHYDRATE (g),SODIUM (mg),POTASSIUM (mg),CALCIUM (mg),PHOSPHORUS (mg),MAGNESIUM (mg),IRON (mg),ZINC (mg),COPPER (mg),VITAMIN A (ugre),VITAMIN C (mg),THIAMIN (mg),REBOFLAVIN (mg)
Sahlab,3.88,47.32,132.32,2.65,4.41,1.21,1.87,22.05,270.16,435.91,28.15,74.73,76.7,1.11,1.42,0.47,346.93,44.92,0.44,0.34
Labneh,2.87,74.99,378.27,31.52,25.22,0.56,3.22,9.46,344.31,180.31,102.78,277.72,85.51,0.31,1.43,0.2,298.63,28.86,0.32,0.25
Mahshi Vine Leaves,9.85,75.64,78.53,1.31,2.62,1.54,2.88,11.78,542.15,327.16,70.45,198.64,67.55,3.66,1.11,0.06,656.97,5.62,0.03,0.32
Ful Medames with Oil,5.99,72.14,431.8,19.43,21.59,1.49,5.37,43.18,561.55,200.55,171.23,252.94,90.98,2.5,3.53,0.25,657.91,11.14,0.45,0.43
Mango,4.42,65.6,234.04,3.12,1.56,1.22,4.05,58.51,183.58,368.57,191.83,277.28,62.17,2.98,4.32,0.43,768.09,5.66,0.05,0.35
Kofta,9.28,42.62,550.07,42.31,38.08,0.55,3.78,10.58,518.69,221.33,141.88,234.7,56.65,2.38,3.69,0.41,624.52,52.14,0.35,0.48
Ghorayeba,6.71,41.84,1465.85,15.27,97.72,2.44,7.78,85.51,258.78,566.1,97.1,257.04,30.19,3.83,1.22,0.3,662.99,31.96,0.45,0.08
Cooked White Rice,0.92,48.64,377.67,6.97,0.87,1.34,1.19,81.34,197.56,528.18,46.24,138.74,76.42,3.34,0.32,0.07,795.97,58.42,0.17,0.15
Roasted Chicken,11.98,54.93,851.05,101.32,44.58,1.44,0.88,0,414.22,419.89,123.34,159.89,23.49,1.08,0.24,0.47,243.96,55.96,0.39,0.25
Kashkaval Cheese,9.1,72.93,814.2,58.16,65.14,1.64,5.96,4.65,24.04,332.09,121.51,288.66,53.97,5.04,4.98,0.16,575.71,45.5,0.34,0.48
Ful Medames,12.45,40.17,431.54,28.77,12.79,0.92,5.49,63.93,446.25,496.06,93.45,165.63,75.56,5.59,1.85,0.38,58.71,42.5,0.36,0.42
Shorbet Adas,0.91,42.07,253.24,12.66,6.33,1.64,3.57,37.99,141.6,220.83,139.37,140.36,106.63,5.07,3.58,0.34,481.47,58.69,0.19,0.35
Molokhia with Chicken,4.85,61.21,219.36,10.39,8.08,1.83,2.2,27.71,366.68,486.41,124.89,179.87,103.54,1.8,2.26,0.41,4.52,34.33,0.16,0.4
Koshari,13.62,55.58,897.9,25.99,18.9,1.65,0.84,151.23,145.24,129.19,107.5,205.45,63.79,2.91,4.59,0.38,315.19,40.89,0.22,0.04
Moussaka Egyptian,11.75,53.79,408.74,18.87,18.87,0.82,0.65,37.73,239.96,277.31,144.92,101.81,22.87,2.94,1.15,0.39,166.92,10.89,0.17,0.22
Black Eyed Peas,2.84,72.84,178.91,9.63,2.06,1.74,0.8,30.28,447.12,163.33,187.5,101.79,107.57,1.89,2.51,0.41,103.76,17.04,0.42,0.39
Koshari,11.17,54.9,974.78,28.22,20.52,2.34,1.57,164.17,504.45,395.21,143,88.11,21.78,4.96,1.43,0.03,122.63,55.93,0.45,0.08
Mango,4.66,41.09,153.79,2.05,1.03,0.51,4.52,38.45,137.19,200.37,15.25,166.53,79.87,4.06,1.87,0.48,297.78,16.31,0.23,0.19
Domiati Cheese,0.24,44.24,564.71,29.28,46.01,0.88,0.37,6.27,473.81,270.04,106.86,133.29,96.23,0.66,1.73,0.26,158.78,6.44,0.3,0.26
Apple,6.75,68.9,266.71,1.54,1.03,1.78,2.35,71.81,428.59,317.1,192.11,275.97,19.05,5.46,2.67,0.32,472.07,29.44,0.2,0.47
Ful Medames,11.98,44.27,623.99,41.6,18.49,0.69,4.51,92.44,218,232.34,130.04,255.25,67.99,2.99,4.8,0.13,732.94,47.35,0.1,0.46
Qatayef Asafiri,2.89,66.85,324.42,5.41,12.98,1.7,0.13,43.26,40.3,360.48,171.91,122.6,56.35,4.21,0.94,0.28,294.46,59.62,0.34,0.44
Boiled Egg,7.58,42.76,453.45,38.03,32.18,1.72,1.11,3.22,589.11,266.33,118.16,127.35,61.9,3.14,2.55,0.45,473.39,50.81,0.42,0.2
Imam Bayildi,8.09,69.71,274.78,4.85,14.55,2.46,5.36,32.33,368.86,529.15,138.11,74.19,112.86,4.31,4.93,0.14,275.78,15.12,0.2,0.22
Ghorayeba,10.55,47.31,1518.79,15.82,101.25,1.72,5.33,88.6,13.7,479.91,118.52,256.48,23.04,2.24,3.14,0.42,449.28,33.3,0.29,0.08
Fried Fish,6.97,72.84,808.78,73.53,51.47,1.95,5.51,0,119.35,357.08,154.46,120.48,10.7,1.38,1.63,0.28,776.66,29.15,0.46,0.34
Green Lentils Cooked,6.99,43.19,171.53,13.31,0.59,1.89,2.19,29.57,89.98,440.09,36.36,151.03,93.4,4.19,1.41,0.45,11.53,46.2,0.29,0.13
Domiati Cheese,4.41,44.79,859.03,44.54,70,2.15,1.46,9.54,80.93,456.04,180.35,259.09,16.1,4.06,3.22,0.46,429.11,46.71,0.23,0.47
Kashkaval Cheese,14,52.59,732.95,52.35,58.64,1.86,2.06,4.19,34.07,180.47,43.44,228.2,54.9,2.37,4.47,0.36,716.26,4.43,0.18,0.02
Baladi Bread,8.34,65.87,1288.28,42.94,7.24,0.66,2.16,255.73,571.72,349.75,89.6,135.51,69.62,3.23,3.36,0.29,381.62,44.87,0.3,0.17
Koshari,4.93,63.49,159.9,4.63,3.37,2.25,0.73,26.93,365.07,224.67,112.72,270.92,53.62,1.98,4.38,0.36,460.4,9.81,0.26,0.49
Mango,3.09,41.7,284.28,3.79,1.9,0.63,2.17,71.07,95.11,302.14,47.55,105.82,45.6,5.21,1.85,0.44,185.24,9.59,0.34,0.05
Chicken Liver,8.26,53.97,112.03,16.29,3.39,1.46,4.07,0.68,103.38,553.77,157.76,63.41,29.05,4.68,3.28,0.05,171.19,45.05,0.06,0.18
Koshari,11.19,73.69,332.49,9.62,7,1.31,1.23,56,408.29,305.35,97.89,242.24,73.37,3.92,2.54,0.13,297.18,3.2,0.38,0.21
Moussaka Egyptian,10.04,59.31,191.22,8.83,8.83,0.96,5.64,17.65,214.58,389.74,31.75,152.81,42,0.53,1.69,0.04,691.17,21.17,0.1,0.41
Milk Full Fat,14.4,58.27,191.84,9.44,10.33,0.93,7.32,14.17,308.68,238.83,191.3,134.88,91.88,2.81,2.13,0.42,283.15,45.91,0.13,0.21
Fried Fish,7.78,74.72,723.35,65.76,46.03,1.49,4.28,0,236.48,315.08,28.67,220.43,48.56,5.3,3.19,0.01,333.39,54.27,0.16,0.38
Olive Oil,10.23,66.7,4023.85,0,455.19,0.83,7.11,0,478.32,491.25,150.93,124.61,119.33,1.71,3.17,0.15,39.57,48.28,0.38,0.07
Ful Medames,4.76,40.4,147.97,9.86,4.38,0.77,5.64,21.92,367.16,413.89,192.94,129.62,25.71,5.22,3.99,0.48,415.98,51.87,0.2,0.49
Green Lentils Cooked,3.28,52.39,278.89,21.64,0.96,1.11,7.52,48.08,577.77,224.46,182.71,58.07,100.36,4.55,0.84,0.04,429.9,55.01,0.08,0.48
Vegetable Oil,2.97,57.19,2775.79,0,314,1.58,3.63,0,504.19,137.1,113.88,273.6,113.81,1.59,3.69,0.3,30.1,10.06,0.28,0.07
Chicken Liver,6.25,42.32,562.07,81.76,17.03,0.78,3.76,3.41,397.93,364.82,90.27,181.95,19.33,0.93,0.41,0.42,662.84,56.62,0.28,0.3
Ghee,12.95,70.34,1209.13,0,134.35,0.79,2.23,0,520.37,363.81,80.69,195.21,40.47,4.27,4.32,0.44,129.76,46.26,0.07,0.26
Grilled Chicken Breast,13.11,63.91,485,91.12,10.58,0.65,7.07,0,532.7,583.27,130.98,68.89,91.08,2.59,3.41,0.03,654.2,10.03,0.29,0.34
Om Ali,9,73.87,402.86,10.99,14.65,0.75,5.83,54.94,494.59,299.36,94.75,204.29,28.94,1.71,4.04,0.24,500.58,6.87,0.33,0.3
Olive Oil,13.4,79.73,2468.32,0,279.22,2.23,7.94,0,228.37,513.98,144.88,127.73,24.16,0.37,2.63,0.34,607.85,29.01,0.13,0.46
Milk Full Fat,2.98,63.06,52.41,2.58,2.82,0.58,3.08,3.87,85.92,476.62,106.56,204.66,12.79,5.08,0.57,0.21,549.11,1.9,0.3,0.07
Shorbat Freekeh,5.59,62.12,139.91,7.36,4.42,0.76,1.37,22.09,167.81,242.71,185.85,79.72,115.35,1.22,4.62,0.01,333.91,43.19,0.46,0.14
Vegetable Oil,0.57,71.58,1134.7,0,128.36,2.01,0.38,0,175.56,156.65,54.5,94.53,69.14,0.23,1.49,0.4,768.19,10.24,0.05,0.36
Milk Full Fat,14.61,45.65,74.01,3.64,3.99,0.83,2.67,5.47,448.8,528.43,30.64,265,110.55,5.78,0.21,0.2,796.81,28.73,0.04,0.2
Apple,11.67,46.61,40.79,0.24,0.16,2.02,0.1,10.98,215.26,536.97,103.69,283.71,37.68,0.42,1.69,0.03,609.73,44.38,0.48,0.4
Sobia,11.42,57.1,92.06,1.32,3.29,1.64,4.19,13.15,277.19,504.96,91,268.01,38.23,1.28,0.44,0.2,343.29,31.08,0.07,0.48
Kofta,12.17,64.93,804.71,61.9,55.71,1.38,3.11,15.48,577.17,550.65,115.01,183.35,32.22,2.11,2.58,0.44,194.38,36.3,0.05,0.47
Cooked White Rice,13.25,52.41,398.9,7.36,0.92,1.58,6.77,85.92,295.58,116.66,160.34,242.71,88.93,3.29,3.45,0.45,18.59,1.07,0.16,0.34
Vegetable Oil,5.66,64.57,1207.67,0,136.61,2.37,6.87,0,235.8,440.77,98.53,125.21,30.42,5.83,1.13,0.19,47.26,58.89,0.31,0.44
Dates,9.57,78.41,855.86,7.59,1.21,2.05,4.1,227.62,342.3,101.38,140.87,217.97,80.18,4.03,3.19,0.26,534.91,4.19,0.28,0.23
Mahshi Mixed,6.79,56.85,215.9,9.25,7.71,1.5,2.28,27.76,535.04,390.22,36.09,60.38,41.62,4.05,2.68,0.45,111.58,31.78,0.31,0.07
Green Lentils Cooked,5.27,58.93,136.76,10.61,0.47,1.93,0.13,23.58,497.48,247.89,71.32,139.2,74.39,5.11,0.92,0.39,427.27,53.18,0.48,0.26
White Cheese,9.07,74.29,206.44,7.57,17.2,1.22,6.24,2.06,312.1,125.51,19.38,86.88,94,1.45,1.48,0.04,346.8,50.38,0.27,0.27
Cooked White Rice,1.56,68.04,163.75,3.02,0.38,1.1,6.13,35.27,48.58,262.69,165.02,118.81,111.67,2.45,0.36,0.34,664.45,20.5,0.38,0.39
Omelette,4.86,52.17,565.25,40.82,40.82,2.26,1.93,6.28,197.39,167.35,158,146.16,86.12,0.55,0.67,0.32,598.75,8.09,0.04,0.06
White Cheese,2.26,47.45,1049,38.46,87.42,1.7,7.69,10.49,354.4,400.69,28.9,107.51,42.66,1.12,1.56,0.2,448.42,27.95,0.22,0.47
Chicken Thigh Stewed,11.86,48.47,959.89,118.84,50.28,0.81,1.94,0,157.26,570.44,182.62,154.7,52.83,3.07,4.96,0.19,577.2,10.9,0.08,0.47
Sobia,12.05,60.07,289.5,4.14,10.34,1.29,7.48,41.36,448.25,484.74,132.89,194.99,108.04,4.53,4.55,0.04,735.23,41.22,0.46,0.09
Domiati Cheese,14.36,76.18,187.73,9.73,15.3,2.05,1.63,2.09,103.78,535.21,199.6,217.52,113.92,4.1,3.87,0.04,230.57,54.47,0.39,0.38
Beef Lean,3.94,41.59,281.3,29.25,19.13,2.5,0.3,0,130.76,484.96,113.47,174.7,51.37,0.35,1.77,0.38,128.08,57.15,0.13,0.16
Shorbat Freekeh,14.04,55.26,367.14,19.32,11.59,1.94,3.74,57.97,49.41,475.07,145.63,236.83,64.63,2.71,4.03,0.32,346.77,49.98,0.12,0.29
Yogurt,8.53,50.22,67.84,3.96,3.39,0.71,4.24,5.65,582.59,506.64,49.02,148.84,35.84,4.16,0.45,0.46,49.49,28.12,0.22,0.02
Ghee,14.38,41.4,3164.58,0,351.62,0.83,4.44,0,163.67,485.37,12.07,93.8,97.31,3.03,4,0.13,252.74,14.24,0.08,0.08
Mahshi Pepper,1.54,69.08,236.26,6.44,6.44,0.98,3.23,42.96,18.43,584.11,190.13,219.94,20.03,2.91,4.07,0.01,466.71,31.53,0.16,0.05
White Cheese,8.96,59.94,661.92,24.27,55.16,2.08,1.07,6.62,493,238.25,181.69,172.82,30.48,5.94,1.91,0.17,219.93,29.7,0.04,0.19
Olive Oil,9.1,47.03,1474.71,0,166.82,0.7,1.69,0,583.73,226.34,148.39,113.02,15.62,3.1,4.75,0.1,492.65,37.35,0.34,0.22
Sahlab,7.49,61.85,167.44,3.35,5.58,0.99,0.82,27.91,401.08,208.17,107.22,259.89,100.03,2.5,0.63,0.24,138.7,11.69,0.48,0.15
Bamia,5.5,61.23,93.67,4.41,3.31,1.34,4.44,11.02,464.39,570.15,68.05,142.73,67.25,1.09,2.68,0.31,752.25,13.83,0.28,0.29
Freekeh Cooked,7.56,52.31,155.57,6.22,2.33,1.36,5.55,31.11,422.78,149.48,184.59,286.71,104.2,1.76,2.29,0.11,550.72,30.09,0.11,0.09
Karkade,10.65,43.24,63.46,0.21,0,1.82,3.69,14.81,59.41,470.32,184.7,85.69,83.65,2.2,4.88,0.19,300.51,26.27,0.06,0.4
White Bread,0.37,78.59,1163.94,39.53,14.06,2.49,2.35,215.22,458.72,396.11,72.62,164.61,81.57,2.88,4.65,0.08,419.48,29.01,0.44,0.25
Chickpeas Cooked,5.76,69.22,674.19,37,10.69,1.62,0.15,110.99,333.03,380.5,147.57,188.28,41.92,2.86,4.88,0.39,784.48,23.94,0.09,0.04
Ghee,10.52,61.31,2118.31,0,235.37,2.08,2.14,0,576.56,264.21,114.74,150.53,88.11,5.44,4.24,0.1,55.4,20.12,0.12,0.18
Zucchini Stew,13.86,79.94,178.27,3.96,5.94,2.34,3.59,23.77,482.27,116.76,93.9,155.57,11.27,5.95,4.8,0.22,432.68,56.99,0.21,0.14
Taameya Baked,0.33,52.33,182.29,9.87,7.6,2.4,5.6,15.19,542.17,460.03,36.94,221.64,58.48,3.35,4.58,0.01,541.93,35.01,0.4,0.35
Chicken Thigh Stewed,8.44,41.31,149.45,18.5,7.83,1.37,0.53,0,472.91,161.12,29.86,193.68,73.97,3.86,0.98,0.47,703.65,31,0.07,0.18
Olive Oil,1.32,66.64,3283.67,0,371.46,1.82,7.16,0,581.47,513,73.67,172.75,47.96,3.39,3.35,0.24,743.07,57.41,0.1,0.3
Karkade,4.8,50.69,37.38,0.12,0,1.66,5.32,8.72,389.51,143.21,173.95,154.58,72.18,2.84,3.18,0.34,297.43,52.52,0.06,0.38
Olive Oil,2.44,60.16,545.6,0,61.72,2.49,4.61,0,159.85,376.59,166.68,99.01,83.64,0.98,0.49,0.21,193.47,8.04,0.32,0.18
Sahlab,0.67,78.17,310.05,6.2,10.33,1.5,2.89,51.67,285.2,490.71,88.79,230.34,105.81,0.87,1.84,0.44,187.81,32.58,0.37,0.48
Black Coffee,12.15,61.54,0.93,0,0,1.21,7.29,0,538.69,260.34,128.59,112.05,14.98,2.22,2.61,0.3,638.62,34.92,0.1,0.39
Freekeh Cooked,2.15,43.85,460.32,18.41,6.9,1.81,4.32,92.06,338.72,589.23,174.03,89.81,16.93,4.8,1.4,0.36,27.02,14.53,0.37,0.03
